CODE COMPARATIVE TABLE (References are to section numbers)
R = Repealed
S = Superseded by et seq. - And the sections which follow
NC = Not codified
EXPAND
Code 1977 Code 1985
1-1001 2-1-1
1-1002 S2-1-2
1-1003 S2-1-3
1-2001 2-2-1
1-2002 S2-2-2
1-2003 2-2-3
1-2004 2-2-3
1-2005 R
1-2006 S2-2-4
1-2007 R
1-3001 2-3-1
1-3002 2-3-2
1-3003 2-3-3
1-3004 2-3-4
1-3011 S2-3-11
1-3021 2-3-21
1-3022 S2-3-22
1-4001 R
1-4002 R
1-4003 R
1-4004 R
1-4005 R
1-4011 R
1-4012 8-1-1 et seq.
1-4013 R
1-5001 2-4-1
1-5002 S2-4-2
1-5003 S2-4-3
1-5004 S2-4-4
1-5005 S2-4-5
1-5006 S2-4-6
1-5007 2-4-7
1-5008 2-4-8
1-5009 2-4-9
1-5010 2-4-10
1-5011 2-4-11
1-5012 2-4-12
1-5013 2-4-13
1-5014 2-4-14
1-5015 2-4-15
1-5016 2-4-16
2-1001 4-1-1
2-1002 S4-1-2
2-1003 4-1-3
2-1004 4-1-4
2-1005 R
2-2001 S4-2-21
2-2002 4-2-22
2-2003 S4-2-1
2-2004 4-2-2
2-2005 4-2-5
2-2006 4-2-6
2-2007 4-2-3
2-2008 4-2-4
2-2009 4-2-7
2-2010 4-2-8
2-3001 R
2-3002 R
2-3003 R
3-1001 3-1-1
3-1002 3-1-2
3-1003 S3-1-3
3-2001 3-2-1
3-2011 S3-2-11
3-2012 3-2-12
3-2031 S3-2-21
3-2032 3-2-22
3-2033 3-2-23
3-2034 3-2-24
3-2035 3-2-25
3-2036 3-2-26
3-2037 S3-2-27
3-2038 S3-2-28
3-2039 3-2-29
3-2040 3-2-30
3-2041 3-2-31
3-2051 R
3-2061 3-2-51
3-2062 S3-2-52
3-2063 S3-2-53
3-2064 3-2-54
3-2065 3-2-55
3-2066 S3-2-56
3-2067 3-2-57
3-2068 3-2-58
3-2069 3-2-59
3-2070 3-2-60
3-2071 3-2-61
3-2072 S3-2-62
3-2073 S3-2-69, 3-2-86, 3-2-87
3-2074 3-2-65
3-2075 3-2-66
3-2076 3-2-63
3-2077 S3-2-64
3-2078 3-2-81
3-2078.1 3-2-82
3-2079 S3-2-83
3-2080 3-2-68
3-2081 3-2-101
3-2082 3-2-102
3-2083 3-2-103
3-2084 S3-2-67
3-2085 S9-2-30
3-2086 3-2-84
3-2087 3-2-85
3-3001 R
3-3002 R
3-3003 R
4-1001 R
4-2001 R
4-2002 R
5-1001 R
5-2001 5-2-1
5-2002 S5-2-2
5-2003 S5-2-3
5-2004 S5-2-4
5-2005 S5-2-5, 5-2-6
5-2006 R
5-2007 5-2-10
5-2008 5-2-9
5-2009 S5-2-8
5-2010 5-2-11
5-3001 R
5-4001 R
7-1001 S8-2-1
7-1002 8-2-21
7-1003 S8-2-3
7-1004 S8-2-4
7-1005 S8-2-5
7-1006 S8-2-6
7-1007 R
7-1008 R
7-1009 8-2-9
7-1010 8-2-2
7-1011 S8-2-7
7-2001 8-6-1
7-2002 8-6-2
7-2003 8-6-3
7-2004 8-6-4
7-2005 8-6-5
7-2006 8-6-6
7-2007 8-6-7
7-2008 8-6-8
7-2009 8-6-9
7-2010 8-6-10
7-2011 8-6-11
7-2012 8-6-12
7-2013 8-6-13
7-2014 8-6-14
7-2015 S8-6-15
7-3001 R
7-3002 R
7-3003 R
7-3004 R
7-3005 R
7-3006 R
7-3007 R
7-3008 R
7-3009 R
7-3010 R
7-3011 R
7-3012 R
7-3013 R
7-3014 R
7-4001 8-4-1
7-4002 8-4-2
7-4003 8-4-3
7-4004 8-4-4
7-4005 S8-4-5
7-4006 8-4-6
7-4007 S8-4-7
7-4008 8-4-8
7-4009 S8-4-9
7-4010 8-4-10
7-4011 8-4-11
7-4012 8-4-12
7-4013 8-4-13
7-4014 S8-4-14
7-4015 S8-4-15
7-4016 S8-4-16
7-4017 S8-4-17
7-4018 S8-4-20
7-4019 8-4-19
8-1001 9-1-1
8-1002 9-1-2
8-1003 S9-1-3
8-1004 S9-1-4
8-1005 9-1-5
8-1006 9-1-6
8-1007 9-1-7
8-1008 S9-1-8
8-1009 9-1-9
8-1010 9-1-10
8-1011 9-1-11
8-1012 S9-1-12
8-1013 9-1-13
8-1014 9-1-14
8-1015 9-1-15
8-1016 9-1-16
8-1017 S9-1-17
8-2001 R
8-2002 R
8-2003 R
8-2004 R
8-2005 R
8-2006 R
8-2007 R
8-2008 R
8-2009 R
8-2010 R
8-2011 R
8-2012 R
8-2013 R
8-2014 R
8-2015 R
8-2016 R
8-2017 R
8-2018 R
8-2019 R
8-2020 R
8-2021 R
8-2022 R
8-2023 R
8-2024 R
8-2025 R
8-2026 R
8-2027 R
8-2028 R
8-2029 R
8-2030 R
8-2031 R
8-2032 R
8-3001 9-3-1
8-3002 9-3-2
8-3003 9-3-3
8-3004 9-3-4
8-3005 S9-3-5
8-3006 9-3-6
8-3007 R
8-3008 9-3-7
8-3009 9-3-8
8-3010 R
8-3011 9-3-9
8-3012 9-3-10
8-3013 9-3-11
8-3014 9-3-12
8-3015 9-3-13
8-3016 9-3-14
8-3017 9-3-15
8-3018 9-3-16
8-3020 9-3-17
8-3021 R
8-3022 9-3-18
8-3023 9-3-19
8-3024 9-3-20
8-3025 9-3-21
8-3026 9-3-22
8-3027 9-3-23
8-3028 9-3-24
8-3029 9-3-25
8-3030 9-3-26
8-3031 9-3-27
8-3032 9-3-28
8-3033 9-3-29
8-3034 9-3-30
8-3035 9-3-31
8-3036 9-3-32
8-3037 9-3-33
8-3038 R
8-3039 9-3-34
8-3040 9-3-35
8-4001 11-1-22
8-4002 S8-2-22
8-4003 R
8-4004 R
8-4005 S9-4-2
8-4006 9-4-3
8-4007 9-4-4
8-4008 S9-4-81 et seq.
8-4009 9-4-61 et seq.
8-4010 9-4-41 et seq.
8-4011 9-4-21 et seq.
8-4012 R
9-1001 10-1-1
9-1002 10-1-2
9-1003 10-1-3
9-1004 10-1-5
9-1005 S10-1-4
9-1006 R
9-1007 10-1-6
9-1008 S10-1-7
9-1009 S10-1-8, 10-1-9
9-1010 R
9-2001 10-2-1
9-2002 10-2-2
9-2003 10-2-3
9-2004 10-2-4
9-2005 S10-2-5
9-2006 10-2-6
9-2007 10-2-7
9-2008 10-2-8
9-2009 S10-2-9
9-1020 10-2-10
9-2011 10-2-11
9-2012 10-2-12
9-2013 S10-2-13
10-1001 11-1-1
10-1002 11-1-2
10-1003 11-1-3
10-1004 11-1-4
10-1005 S11-1-5
10-1006 S11-1-21
10-1007 11-1-6
10-1008 S11-1-7
10-1009 11-1-8
10-1010 11-1-9
10-1011 S11-1-10
10-1012 11-1-11
10-1013 S11-1-12
10-1014 S11-1-13
10-1015 11-1-14
10-1016 S11-1-15
10-1017 S11-1-16
10-1018 11-1-17
10-1019 11-1-41 et seq.
10-1020 R
10-1021 R
10-1022 R
10-1023 R
10-1024 S11-1-18
10-2001 R
10-2002 R
10-2003 R
10-2004 R
10-3001 11-3-1
10-3002 11-3-2
10-3003 11-3-3
10-3004 11-3-4
10-3005 11-3-5
10-3006 R
10-3007 S11-3-6
10-3008 S11-3-7
10-3009 S11-3-8
10-3010 S11-3-9
10-3011 11-3-10
10-3012 11-3-11
10-3013 11-3-12
10-3014 11-3-13
10-3015 S11-3-14
11-1001 1-1-1
11-1002 S1-1-2
11-1003 1-1-3
11-1004 1-1-4
11-1005 1-1-5
11-1006 S1-1-6
11-1007 1-1-7
11-1008 1-1-8
11-2001 R
11-2002 Charter, App. A
11-2003 Charter, App. A
11-2004 Charter, App. A
11-2005 Charter, App. A
11-2006 Charter, App. A
11-2007 Charter, App. A
11-2008 Charter, App. A
