SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
EXPAND
Ord. No. Date Adopted Included/
Omitted Supp. No.
15-2010 12- 6-2010 Included 7
16-2010 12- 6-2010 Included 7
17-2010 10- 4-2010 Included 7
18-2010  9-13-2010 Included 7
19-2010  8- 2-1010 Included 7
02-2011  4- 4-2011 Included 7
03-2011  5- 2-2011 Included 7
04-2011  4-27-2011 Included 7
05-2011  7-12-2011 Included 7
07-2011  9-12-2011 Included 7
08-2011  9-12-2011 Included 7
09-2011  9-12-2011 Included 7
11-2011 10- 3-2011 Omitted 7
16-2011 10- 3-2011 Included 7
17-2011 10- 3-2011 Included 7
18-2011 10- 3-2011 Included 7
19-2011 10- 3-2011 Included 7
20-2011 10- 3-2011 Included 7
10-2011  9-12-2011 Included 8
12-2011 10-17-2011 Included 8
13-2011 10-17-2011 Included 8
14-2011 10-17-2011 Included 8
15-2011  9-12-2011 Included 8
21-2011 12- 5-2011 Included 8
22-2011 11- 7-2011 Included 8
23-2011 11- 7-2011 Included 8
24-2011 12- 5-2011 Included 8
25-2011 12- 5-2011 Included 8
01-2012  1- 3-2012 Included 8
02-2012  1- 3-2012 Included 8
03-2012  2- 6-2012 Included 8
04-2012  2- 6-2012 Included 8
05-2012  2- 6-2012 Included 8
06-2012  2- 6-2012 Included 8
07-2012  2- 6-2012 Included 8
08-2012  2- 6-2012 Included 8
09-2012  3- 5-2012 Included 9
10-2012  4- 2-2012 Included 9
11-2012  4- 2-2012 Included 9
13-2012  5- 7-2012 Included 9
14-2012  5- 7-2012 Included 9
12-2012  6- 4-2012 Included 10
15-2012  6- 4-2012 Included 10
16-2012  6- 4-2012 Included 10
17-2012  6- 4-2012 Included 10
18-2012  7- 2-2012 Included 10
20-2012  7- 2-2012 Included 10
21-2012  8- 6-2012 Included 10
22-2012  9- 4-2012 Included 10
23-2012 10- 1-2012 Included 10
24-2012 10- 1-2012 Included 10
25-2012 10- 1-2012 Included 10
26-2012  9- 4-2012 Omitted 11
01-2013  3- 4-2013 Included 11
02-2013  3- 4-2013 Included 11
03-2013  3- 4-2013 Included 11
04-2013  3- 4-2013 Included 11
27-2011  7-11-2011 Included 12
Ord. of  5- 6-2013 Omitted 12
Amend. of  8- 5-2013 Omitted 12
06-2013 10- 7-2013 Included 13
07-2013 11- 4-2013 Included 13
08-2013 11- 4-2013 Included 13
02-2014  5- 5-2014 Included 13
03-2014  9- 2-2014 Included 14
04-2014  8-18-2014 Included 14
06-2014 10- 6-2014 Included 14
07-2014 10- 6-2014 Included 14
08-2014 11- 3-2014 Included 14
09-2014 11- 3-2014 Included 14
10-2014 12- 1-2014 Included 14
11-2014 12- 1-2014 Included 14
12-2014  1- 5-2015 Included 15
01-2015  1- 5-2015 Included 15
02-2015  2- 2-2015 Included 15
03-2015  2- 2-2015 Included 15
04-2015  5- 4-2015 Included 16
05-2015  6- 1-2015 Included 16
06-2015  8- 3-2015 Included 17
07-2015 10- 5-2015 Included 17
09-2015 12- 7-2015 Included 18
1-2016  3- 7-2016 Included 18
02-2016  5- 2-2016 Included 18
03-2016  6- 6-2016 Included 19
04-2016  7- 5-2016 Included 19
05-2016  7- 5-2016 Included 19
06-2016  6-20-2016 Omitted 19
07-2016  7- 5-2016 Included 19
