SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
1008 10- 7-2010 Included 28
1009 10- 7-2010 Included 28
1010 10- 7-2010 Included 28
1011 10- 7-2010 Included 28
1012 10- 7-2010 Included 28
1013 10-21-2010 Included 28
1014 11-18-2010 Included 28
1015  1- 6-2011 Included 28
1016  1- 6-2011 Included 28
1017  1- 6-2011 Included 28
1018  1- 6-2011 Included 28
1020  1-20-2011 Included 28
1021  1-20-2011 Included 28
1022  3- 3-2011 Included 28
1023  3-17-2011 Included 28
1024  3- 3-2011 Included 29
1025  5-19-2011 Included 29
1026  3- 3-2011 Included 29
1027  5-19-2011 Included 29
1028  5-19-2011 Included 29
1029  6- 2-2011 Included 29
1030  6- 2-2011 Included 29
1031  6- 2-2011 Included 29
1032  7-21-2011 Included 29
1033  7-21-2011 Included 29
1034  8-18-2011 Included 29
1035  9-15-2011 Included 30
1036 10- 6-2011 Included 30
1037 11-17-2011 Included 30
1038 12- 1-2011 Included 30
1039  1- 5-2012 Included 30
1040  1-19-2012 Included 30
1041  2-16-2012 Included 30
1042  4-19-2012 Included 31
1043  5- 3-2012 Included 31
1044  8- 2-2012 Included 31
1045  8- 2-2012 Included 31
Order of  9- 5-2012 Included 31
1047  9- 6-2012 Included 32
1048 10-18-2012 Included 32
1049 10-18-2012 Included 32
1050 10-18-2012 Included 32
1051 11- 8-2012 Included 32
1052 11- 8-2012 Included 32
1054 12- 6-2012 Included 32
1055 12- 6-2012 Included 32
1056  2- 7-2013 Included 32
1057  2- 7-2013 Included 32
1058  4- 4-2013 Included 32
1053  6- 6-2013 Included 33
1059  5- 9-2013 Included 33
1060  6- 6-2013 Included 33
1061  6- 6-2013 Included 33
1062  6- 6-2013 Included 33
1063  6- 6-2013 Included 33
1064  6-20-2013 Included 33
1065  6- 6-2013 Included 33
1066  6- 6-2013 Included 33
1067 10- 3-2013 Included 33
1068 10- 3-2013 Included 33
1071 11- 7-2013 Included 33
1072  2- 6-2014 Included 34
1073  2- 6-2014 Included 34
1074  2-20-2014 Included 34
1075  2-20-2014 Included 34
1076  4-17-2014 Included 34
1077  5- 1-2014 Included 35
1078  6- 5-2014 Included 35
1079  5-15-2014 Included 35
1080  5-15-2014 Included 35
1081  7-17-2014 Included 35
1082  9- 4-2014 Included 35
1083  9-18-2014 Included 35
1084  9-18-2014 Included 35
1085 11-20-2014 Included 36
1086 12-18-2014 Include 36
1087  1-15-2015 Included 36
1088  1-15-2015 Included 36
1089  2- 5-2015 Included 36
1090  2-19-2015 Included 36
1091  3-19-2015 Included 36
1092  4- 2-2015 Included 36
1093  4- 2-2015 Included 36
1094  4- 2-2015 Included 36
1095  5-21-2015 Included 37
1096  7-16-2015 Included 37
1097 10-15-2015 Included 38
1098 10-15-2015 Included 38
1099 12- 3-2015 Included 38
1100  1- 7-2016 Included 38
1101  1-21-2016 Included 38
1102  2- 4-2016 Included 38
1103  2-18-2016 Included 38
1104  2-18-2016 Included 38
1105  2-18-2016 Included 38
1106  3- 3-2016 Included 38
1107  3-17-2016 Included 39
1108  4- 7-2016 Included 39
1109  4-21-2016 Included 39
1112  6- 2-2016 Included 39
1114  8-18-2016 Included 39
1110  5- 5-2016 Included 40
1111(OI)  5- 5-2016 Included 40
1117 11- 3-2016 Included 40
1118 12- 1-2016 Included 40
1119 12- 1-2016 Included 40
1120  1- 5-2017 Included 40
1121  2-16-2017 Included 40
1122  3- 2-2017 Included 40
1123  4- 6-2017 Included 40
1124  4- 6-2017 Included 40
1125  4- 6-2017 Included 40
1126  4- 6-2017 Included 40
1115  8-18-2016 Included 41
1116  8-18-2016 Included 41
1127  5-18-2017 Included 41
1128  5-18-2017 Included 41
1129  6-15-2017 Included 41
1130  6-15-2017 Included 41
1131  9- 7-2017 Included 41
1132  9- 7-2017 Included 41
1133  9- 7-2017 Included 41
1134  9-21-2017 Included 41
1135 10- 5-2017 Included 42
1136 11- 2-2017 Included 42
1137 11-16-2017 Included 42
1138 11-16-2017 Included 42
1139  1- 4-2018 Included 42
1140  2- 1-2018 Included 42
1142  4-19-2018 Included 42
1143  4-19-2018 Included 42
1144  5-17-2018 Included 42
1145  5-17-2018 Included 42
1141  3-15-2018 Included 43
05-18-03(Res.)  5-17-2018 Omitted 43
1146  6- 7-2018 Included 43
1147  6- 7-2018 Included 43
1148  6- 7-2018 Included 43
1149  7-19-2018 Included 43
1150  9- 6-2018 Included 43
1153 10-18-2018 Included 43
1151 10- 4-2018 Included 44
1152 10- 4-2018 Included 44
1154 11-15-2018 Included 44
1155 11-15-2018 Included 44
1156 11-15-2018 Included 44
1157 11-15-2018 Included 44
1158 11-15-2018 Included 44
1159 11-15-2018 Included 44
