SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2010-03(Rev.)  1- 5-10 Included 16
2011-01  1- 4-11 Omitted 16
2011-02  1- 4-11 Omitted 16
2011-03  2- 1-11 Included 16
2011-04  2- 1-11 Included 16
2011-05  4- 5-11 Included 17
2011-06  4-19-11 Included 17
2011-07  4-19-11 Included 17
2011-08  5- 3-11 Included 17
2011-09  5-17-11 Included 17
2011-10  6- 7-11 Included 17
2011-11  6-21-11 Omitted 18
2011-12  6-21-11 Omitted 18
2011-13  6-21-11 Included 18
2011-14  6-21-11 Omitted 18
2011-15  7- 5-11 Omitted 18
2011-16  7- 5-11 Omitted 18
2011-17  7- 5-11 Included 18
2011-18  7-19-11 Omitted 18
2011-19  7-19-11 Omitted 18
2011-20  8- 2-11 Included 19
2011-21  9- 6-11 Included 19
2011-22 10-18-11 Omitted 20
2011-23 10-18-11 Omitted 20
2011-24 10-18-11 Included 20
2011-25 11-15-11 Included 20
2011-16 11-15-11 Included 20
2011-27 11-15-11 Included 20
2011-29 11-22-11 Included 20
2012-01  1- 3-12 Omitted 21
2012-02  1- 3-12 Omitted 21
2012-04  1-17-12 Omitted 21
2012-05  1-17-12 Omitted 21
2012-07  3- 6-12 Included 21
2012-08  3-20-12 Included 21
2012-09  4-17-12 Included 22
2012-10  5- 1-12 Included 22
2012-11  5-15-12 Included 22
2012-12  5-15-12 Included 22
2012-13  6- 5-12 Omitted 23
2012-14  6- 5-12 Included 23
2012-16  8- 7-12 Included 23
2012-17  8- 7-12 Included 23
2012-18  8-21-12 Omitted 23
2012-19  8-21-12 Omitted 23
2012-20  9-18-12 Included 24
2012-21  9-18-12 Included 24
2012-22 10-16-12 Included 25
2012-23 10-23-12 Included 25
2012-24 11-20-12 Included 26
2012-25 11-20-12 Omitted 26
2013-01  1-15-13 Included 26
2013-02  2- 5-13 Omitted 26
2013-03  2- 5-13 Omitted 26
2013-04  2- 5-13 Included 26
2013-05  2- 5-13 Included 26
2013-06  2-19-13 Included 27
2013-07  2-19-13 Omitted 27
2013-09  3-19-13 Included 27
2013-11  6- 4-13 Omitted 28
2013-18  7-16-13 Included 28
2013-19  8- 6-13 Omitted 28
2013-20  8- 6-13 Omitted 28
2013-21  8-20-13 Included 28
2013-22  9- 3-13 Included 28
2013-23  9- 3-13 Included 28
2014-01  1-21-14 Omitted 29
2014-03  2- 4-14 Included 29
2014-04  2-18-14 Omitted 29
2014-05  2-18-14 Omitted 29
2014-07  5- 6-14 Omitted 29
2014-08  5- 6-14 Omitted 29
2014-09  5- 6-14 Omitted 29
2014-10  5- 6-14 Omitted 29
2014-11  5- 6-14 Included 29
2014-13  6- 3-14 Included 29
2014-12  6- 3-14 Omitted 30
2014-14  6-17-14 Omitted 30
2014-16  6-17-14 Included 30
2014-17  7- 1-14 Included 30
2014-18  7-15-14 Included 31
2014-19  8- 5-14 Included 31
2014-20 10- 7-14 Included 32
2014-21 10- 7-14 Included 32
2014-22 10-21-14 Included 32
2014-23 11- 4-14 Omitted 32
2014-24 11- 4-14 Included 32
2014-25 11-18-14 Included 33
2014-27 12- 2-14 Omitted 33
2014-28 12-16-14 Included 33
2014-29 12-16-14 Included 33
2014-30 12-16-14 Included 33
2015-02  1- 6-15 Included 33
2013-14  6-18-13 Included 34
2015-03  2- 3-15 Included 34
2015-04  2-17-15 Omitted 34
2015-05  2-17-15 Omitted 34
2015-06  3-17-15 Included 34
2015-07  4- 7-15 Included 34
2015-08  4- 7-15 Included 34
2015-09  4-21-15 Included 35
2015-10  5-19-15 Omitted 35
2015-11  5-19-15 Omitted 35
2015-12  6-16-15 Omitted 35
2015-14  7-21-15 Omitted 35
2015-15  7-21-15 Omitted 35
2015-16  7-21-15 Included 35
2015-17  7-21-15 Included 35
2015-18  7-21-15 Included 35
2015-20  8- 4-15 Omitted 35
2015-21  8- 4-15 Omitted 35
