SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date Adopted Included/
Omitted Supp. No.
Res. 10-24-2006(1) Omitted 1
Ord.  2-21-2008(1) Included 1
Ord.  7-21-2011(1) Omitted 1
Res.  9-15-2011(1) Included 1
Ord.  6-21-2012(1) Included 1
Ord.  6-21-2012(2) Included 1
Ord.  6-21-2012(3) Included 1
Ord.  6-21-2012(4) Included 1
Res. 10- 4-2012(1) Omitted 1
Res. 12-20-2012(1) Included 1
Res.  1-17-2013(1) Included 1
Res.  4-18-2013(1) Included 1
Amdt. 10-25-2013(1) Included 1
Res.  3-20-2014(1) Included 1
Res.  3-20-2014(2) Included 1
Min.  9-18-2014 Omitted 1
Res.  5-21-2015(1) Included 1
Res.  5-21-2015(2) Included 1
Amdt.  5-21-2015(1) Included 2
Proc. 12- 1-2015(1) Omitted 2
Ord.  2-18-2016(1) Omitted 2
Amdt.  9-15-2016(1) Included 2
Ord. 10-20-2016(1) Omitted 2
Ord. 11- 8-2016(1) Included 2
Res. 11-17-2016(1) Omitted 2
Res. 12-30-2016(1) Omitted 2
Res.  3-21-2017(1) Omitted 2
Res.  4-18-2017(1) Included 2
Res.  5-16-2017(1) Included 2
Ord.  6-20-2017(1) Included 2
Res.  7-18-2017(1) Omitted 2
Res.  8-15-2017(1) Included 2
Res.  9-19-2017(1) Omitted 2
Res. 10-17-2017(1) Included 2
Res. 10-17-2017(2) Omitted 2
Res. 11-21-2017(1) Omitted 2
Res. 11-21-2017(2) Omitted 2
Res.  1-23-2018(1) Omitted 2
Res.  3-20-2018(1) Omitted 2
Res.  3-20-2018(2) Included 2
Res.  5-15-2018(1) Omitted 2
Res.  7-17-2018(1) Omitted 2
Res.  7-20-2018(1) Omitted 2
Res.  8- 3-2018(1) Omitted 2
Res.  9-18-2018(1) Included 2
Min.  9-28-2018(1) Omitted 2
Res. 10-29-2018(1) Included 2
Res. 10-29-2018(2) Included 2
Res. 11-12-2018(1) Omitted 2
Res. 12- 3-2018(1) Omitted 2
Res. 12- 3-2018(2) Omitted 2
Res. 12-31-2018(1) Included 2
Res.  1-15-2019(1) Omitted 2
Amdt.  3-19-2019(1) Omitted 2
Ord.  3-19-2019(1) Included 2
Amdt.  7-26-2019(1) Included 2
Res.  8-20-2019(1) Omitted 2
Res.  9-19-2019(1) Omitted 2
