SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
16-01  2- 2-2016 Included 1
16-02  2-16-2016 Included 1
16-03  3- 1-2016 Included 1
16-04  3- 1-2016 Included 1
16-05  3-15-2016 Omitted 1
16-06  4- 5-2016 Included 1
16-07  5-17-2016 Included 1
16-08  6- 7-2016 Included 1
16-09  6- 7-2016 Included 1
16-10  6- 7-2016 Included 1
16-11  6- 7-2016 Included 1
16-12  6- 7-2016 Included 1
16-13  7- 5-2016 Included 1
16-14  7- 5-2016 Included 1
16-15  7-19-2016 Omitted 1
16-16  7-19-2016 Included 1
16-17  7-19-2016 Omitted 1
16-18  8-16-2016 Omitted 1
16-19  8-16-2016 Omitted 1
16-20  9- 6-2016 Included 1
16-21 10- 4-2016 Omitted 1
16-22 10-18-2016 Included 1
16-23 11-15-2016 Omitted 2
16-24 12- 6-2016 Included 2
16-25 12-20-2016 Included 2
O17-01  1- 3-2017 Included 2
O17-02  1- 3-2017 Included 2
O17-03  2- 7-2017 Omitted 2
O17-04  2-21-2017 Omitted 2
O17-05  4- 4-2017 Included 2
O17-06  5- 2-2017 Included 2
O17-07  5- 2-2017 Omitted 2
O17-08  5- 2-2017 Omitted 2
O17-09  5-16-2017 Included 2
O17-10  5-16-2017 Omitted 2
O17-11  5-16-2017 Omitted 2
O17-12  5-30-2017 Omitted 2
O17-13  7-11-2017 Omitted 2
O17-14  6-20-2017 Included 2
O17-15  7-11-2017 Omitted 2
O17-16  8- 1-2017 Omitted 2
O17-17  8-15-2017 Included 2
O17-18  8-15-2017 Omitted 2
O17-19  9- 5-2017 Included 2
O17-20  9- 5-2017 Included 2
O17-21 10- 3-2017 Omitted 2
O17-22 10- 3-2017 Omitted 2
O17-23  9-19-2017 Omitted 2
O17-24 11- 7-2017 Included 2
O17-25 11- 7-2017 Included 2
O18-01  1- 6-2018 Included 3
O18-02  3- 6-2018 Included 3
O18-03  3- 6-2018 Omitted 3
O18-04  5-15-2018 Included 3
O18-05  5-15-2018 Omitted 3
O18-06  6- 5-2018 Omitted 3
O18-07  6-19-2018 Omitted 3
O18-08  7-17-2018 Omitted 3
O18-09  8- 7-2018 Included 3
O18-10  8- 7-2018 Included 3
O18-11  9- 4-2018 Included 3
O18-12  8-21-2018 Included 3
O18-13  9- 4-2018 Omitted 3
O18-14  9- 4-2018 Omitted 3
O18-15  8-27-2018 Omitted 3
