Word,NER,Sentence ID,Sentence,Document ID,Document
City,ORG,4,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
of Atlanta,LOC,4,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
City of Atlanta,ORG,11,"The purpose of the City of Atlanta's policy on sustainable building is to require the city's commitment to environmental, economic, and social stewardship, to yield cost savings to the city taxpayers through reduced operating costs, to provide healthy and productive work environments for staff and visitors, and to contribute to the city's goals of protecting, conserving, and enhancing the region's environmental resources.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,13,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-17. - Organizations affected.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,15,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-18. - Definitions.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Leadership in Energy and Environmental Design,MISC,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
U,ORG,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
S. Green Building Council,ORG,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
USGBC,ORG,23,"LEEDTM rating system: LEEDTM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,25,"LEEDTM is a self-certifying system designed for rating new and existing commercial, institutional, and multi-family residential buildings.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Georgia Code,MISC,28,"Renovation as defined by Georgia Code § 20-2-260 refers to construction projects which consist of the installation or replacement of major building components such as lighting, heating, air-conditioning, plumbing, roofing, electrical, electronic, or flooring systems; millwork; cabinet work and fixed equipment; energy retrofit packages; or room-size modifications within an existing facility, but excluding routine maintenance and repair items or operations.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,29,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-19. - Policy and goals.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
City,ORG,30,"(a) It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings to be sustainable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
of Atlanta,LOC,30,"(a) It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings to be sustainable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,32,(b) The LEEDTM rating system and reference guide shall be used as a guidance for design and a measuring tool to determine what constitutes sustainable building by national standards.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM Silver,MISC,34,Design and project management teams are required to meet LEEDTM Silver rating level (33—38 points).,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
