Word_1,Word_2,Word_1_2,n-dimensional Euclidean distance
Chapter,regulations,Chapter_regulations,1.331765721895948
Chapter,administrative,Chapter_administrative,1.2895244506418027
Chapter,compostable,Chapter_compostable,1.3337128909507663
Chapter,contained,Chapter_contained,1.2104551955061775
Chapter,prohibition,Chapter_prohibition,1.270257991404881
Chapter,flexible,Chapter_flexible,1.3544184089421525
Chapter,straws,Chapter_straws,1.3364106297105787
Chapter,plastic,Chapter_plastic,1.3495601409708313
Chapter,pursuant,Chapter_pursuant,1.296111946796861
Chapter,public,Chapter_public,1.2479896335360772
Chapter,serviceware,Chapter_serviceware,1.3713018246039974
Chapter,single,Chapter_single,1.2663178658790848
Chapter,non-compostable,Chapter_non-compostable,1.3520070422266968
Chapter,ETS,Chapter_ETS,1.334692603760196
Chapter,air,Chapter_air,1.3087500309865823
Chapter,occupants,Chapter_occupants,1.3299866992663645
Chapter,respective,Chapter_respective,1.232026747281059
Chapter,Establish,Chapter_Establish,1.3067411691657689
Chapter,Minimum,Chapter_Minimum,1.3123574107418197
Chapter,systems,Chapter_systems,1.2728495323768334
Chapter,prerequisites,Chapter_prerequisites,1.2879625944538216
Chapter,apply,Chapter_apply,1.3631106819633358
Chapter,exempt,Chapter_exempt,1.314435263555488
Chapter,maximum,Chapter_maximum,1.3417948343109287
Chapter,Guidelines,Chapter_Guidelines,1.256509106940558
Chapter,-14(17-O-1157,Chapter_-14(17-O-1157,1.2904482139381896
Chapter,infrastructure,Chapter_infrastructure,1.3217607714963404
Chapter,ensure,Chapter_ensure,1.3908076634578106
Chapter,consistent,Chapter_consistent,1.3212061274638691
Chapter,review,Chapter_review,1.2701776158856999
Chapter,guidelines,Chapter_guidelines,1.264256815789723
Chapter,requirement,Chapter_requirement,1.2737182626957153
Chapter,procurement,Chapter_procurement,1.2720536975861836
Chapter,RFP,Chapter_RFP,1.299323399666597
Chapter,proposal,Chapter_proposal,1.276745532026692
Chapter,6,Chapter_6,1.2574341972460974
Chapter,sponsoring,Chapter_sponsoring,1.2831820210292846
Chapter,department,Chapter_department,1.223193955281467
Chapter,process,Chapter_process,1.2463999538666772
Chapter,CIP,Chapter_CIP,1.2480868144152961
Chapter,CDP,Chapter_CDP,1.2821038190219851
Chapter,training,Chapter_training,1.2603652050451428
Chapter,available,Chapter_available,1.3871270189049918
Chapter,office,Chapter_office,1.2500055542616706
Chapter,managed,Chapter_managed,1.323469408979967
Chapter,renovating,Chapter_renovating,1.28874112539331
Chapter,(s,Chapter_(s,1.3780719061264948
Chapter,designee,Chapter_designee,1.3315508459677008
Chapter,commissioners,Chapter_commissioners,1.3143835619075908
Chapter,responsibilities,Chapter_responsibilities,1.301193649561758
Chapter,3,Chapter_3,1.242188262962623
Chapter,Maintenance,Chapter_Maintenance,1.2065552674061215
Chapter,Buildings,Chapter_Buildings,1.2685566413937093
Chapter,Existing,Chapter_Existing,1.2699386060208635
Chapter,Ordinances,Chapter_Ordinances,1.2260425845483616
Chapter,III,Chapter_III,1.2297091746885698
Chapter,Code,Chapter_Code,1.1971734418152338
Chapter,Development,Chapter_Development,1.1528730634805635
Chapter,Land,Chapter_Land,1.2794725172141372
Chapter,J,Chapter_J,1.2803537777351226
Chapter,Article,Chapter_Article,1.251183568385554
Chapter,8,Chapter_8,1.2797639232121194
Chapter,requirements,Chapter_requirements,1.312833611144614
Chapter,commissioning,Chapter_commissioning,1.2324984605876663
Chapter,comply,Chapter_comply,1.3141921083309545
Chapter,(d),Chapter_(d),1.294035613210474
Chapter,Certification,Chapter_Certification,1.270461696954796
Chapter,Silver,Chapter_Silver,1.3692297785223984
Chapter,required,Chapter_required,1.2923731435610735
Chapter,teams,Chapter_teams,1.2731491617379862
Chapter,article,Chapter_article,1.2739060844506636
Chapter,c),Chapter_c),1.2901525019542748
Chapter,standards,Chapter_standards,1.3091482667291234
Chapter,space,Chapter_space,1.285336065463604
Chapter,occupied,Chapter_occupied,1.271312156471236
Chapter,feet,Chapter_feet,1.2876973583577003
Chapter,gross,Chapter_gross,1.3817514479899373
Chapter,"5,000","Chapter_5,000",1.32776467487453
Chapter,square,Chapter_square,1.3135468668937678
Chapter,(a),Chapter_(a),1.2677462216775073
Chapter,property,Chapter_property,1.3039032348202162
Chapter,improvement,Chapter_improvement,1.2411130919965851
Chapter,repair,Chapter_repair,1.2604560516746286
Chapter,commercial,Chapter_commercial,1.2792757781577433
Chapter,new,Chapter_new,1.3002240210580076
Chapter,designed,Chapter_designed,1.3332855767501446
Chapter,existing,Chapter_existing,1.2787741245980166
Chapter,USGBC,Chapter_USGBC,1.2878071281955779
Chapter,rating,Chapter_rating,1.2722592254877325
Chapter,market,Chapter_market,1.3041957149556833
Chapter,based,Chapter_based,1.2934653376496608
Chapter,Design,Chapter_Design,1.259154289938532
Chapter,Environmental,Chapter_Environmental,1.318316205551325
Chapter,Energy,Chapter_Energy,1.2916813572516883
Chapter,TM,Chapter_TM,1.2628834086407343
Chapter,LEED,Chapter_LEED,1.290708512760609
Chapter,achieve,Chapter_achieve,1.3275330434786055
Chapter,value,Chapter_value,1.3658550908753233
Chapter,maintenance,Chapter_maintenance,1.2200866227563247
Chapter,facility,Chapter_facility,1.313458165811154
Chapter,program,Chapter_program,1.293860036236011
Chapter,analysis,Chapter_analysis,1.2953681776827404
Chapter,Life,Chapter_Life,1.2573705525386878
Chapter,management,Chapter_management,1.2714457098158332
Chapter,indoor,Chapter_indoor,1.2425404182164816
Chapter,water,Chapter_water,1.2950259253966545
Chapter,use,Chapter_use,1.3254264911023461
Chapter,following,Chapter_following,1.2887340230142983
Chapter,encompasses,Chapter_encompasses,1.2972092888204227
Chapter,project,Chapter_project,1.194914315478975
Chapter,looks,Chapter_looks,1.2985756437283138
Chapter,built,Chapter_built,1.3336800190145903
Chapter,operation,Chapter_operation,1.2304676314998566
Chapter,quality,Chapter_quality,1.2944917255558042
Chapter,promote,Chapter_promote,1.3117743067280274
Chapter,materials,Chapter_materials,1.3110473767276765
Chapter,means,Chapter_means,1.2953825187670371
Chapter,Sustainable,Chapter_Sustainable,1.2862958290457196
Chapter,buildings,Chapter_buildings,1.282532171255481
Chapter,owned,Chapter_owned,1.2928398996826245
Chapter,managing,Chapter_managing,1.262052491336155
Chapter,constructing,Chapter_constructing,1.2623157516104087
Chapter,developing,Chapter_developing,1.244508278677912
Chapter,designing,Chapter_designing,1.2989667226209556
Chapter,planning,Chapter_planning,1.297924928714623
Chapter,financing,Chapter_financing,1.2439476799238953
Chapter,responsible,Chapter_responsible,1.2875661636784657
Chapter,contractors,Chapter_contractors,1.3377449863278663
Chapter,offices,Chapter_offices,1.2792792422483814
Chapter,departments,Chapter_departments,1.2305430422551698
Chapter,17,Chapter_17,1.2518674006970558
Chapter,community,Chapter_community,1.2663783826580213
Chapter,resources,Chapter_resources,1.3323115391193467
Chapter,goals,Chapter_goals,1.3254305913337858
Chapter,social,Chapter_social,1.2993102696077792
Chapter,economic,Chapter_economic,1.325159646780707
Chapter,Reserved,Chapter_Reserved,1.3218345628024732
Chapter,Secs,Chapter_Secs,1.295231343961633
Chapter,7-26-17,Chapter_7-26-17,1.311997804808696
Chapter,-42(17-O-1218,Chapter_-42(17-O-1218,1.3072034284719594
Chapter,2017,Chapter_2017,1.2919137614393585
Chapter,12-9-03,Chapter_12-9-03,1.3132506925917427
Chapter,energy,Chapter_energy,1.304766852043791
Chapter,stormwater,Chapter_stormwater,1.2920425097590307
Chapter,include,Chapter_include,1.278997030709264
Chapter,environmental,Chapter_environmental,1.3108254148279657
Chapter,basis,Chapter_basis,1.2705543316262442
Chapter,addition,Chapter_addition,1.271480899289319
Chapter,b),Chapter_b),1.3166848231825856
Chapter,costs,Chapter_costs,1.3823396133503907
Chapter,reduced,Chapter_reduced,1.2860791504563547
Chapter,performance,Chapter_performance,1.2957880187498338
Chapter,cycle,Chapter_cycle,1.2222670087663456
Chapter,life,Chapter_life,1.300208447580552
Chapter,taxpayers,Chapter_taxpayers,1.33239164133308
Chapter,savings,Chapter_savings,1.3261668782276064
Chapter,cost,Chapter_cost,1.3740045359043143
Chapter,yield,Chapter_yield,1.2518908795655084
Chapter,policy,Chapter_policy,1.3157273775789937
Chapter,development,Chapter_development,1.2019758749924314
Chapter,guidance,Chapter_guidance,1.2308123878000536
Chapter,provide,Chapter_provide,1.3079518475888503
Chapter,19,Chapter_19,1.235141688699467
Chapter,section,Chapter_section,1.0537030993236698
Chapter,minimum,Chapter_minimum,1.315458812363264
Chapter,possible,Chapter_possible,1.361390013091132
Chapter,extent,Chapter_extent,1.2640839288565282
Chapter,projects,Chapter_projects,1.2261996485339166
Chapter,funded,Chapter_funded,1.310666430569527
Chapter,facilities,Chapter_facilities,1.281337110907329
Chapter,city,Chapter_city,1.2292532580135516
Chapter,operations,Chapter_operations,1.2591964794509765
Chapter,construction,Chapter_construction,1.2446314167134547
Chapter,design,Chapter_design,1.2813441059804578
Chapter,practices,Chapter_practices,1.2708537827782747
Chapter,building,Chapter_building,1.237445967312137
Chapter,sustainable,Chapter_sustainable,1.3074672693343687
Chapter,green,Chapter_green,1.3285581129907058
Chapter,shall,Chapter_shall,1.3179342322394951
Chapter,Atlanta,Chapter_Atlanta,1.3275735467040581
Chapter,City,Chapter_City,1.2347815209367303
Chapter,a),Chapter_a),1.2834675858064595
Chapter,Policy,Chapter_Policy,1.284720024072769
Chapter,Sec,Chapter_Sec,1.2693411215689785
Chapter,27,Chapter_27,1.2953621021887889
Chapter,subject,Chapter_subject,1.235127966826407
Chapter,set,Chapter_set,1.3392445991509765
Chapter,9,Chapter_9,1.2277227932950923
Chapter,approved,Chapter_approved,1.3224654058212095
Chapter,Exh,Chapter_Exh,1.285207130772349
Chapter,2,Chapter_2,1.2511058255397745
Chapter,§,Chapter_§,1.1932966026373701
Chapter,108,Chapter_108,1.2967820776229726
Chapter,2003,Chapter_2003,1.3055641950558203
Chapter,Ord,Chapter_Ord,1.2498306173288696
Chapter,'s,Chapter_'s,1.2417664090430363
Chapter,---,Chapter_---,1.3405380968490328
Chapter,1,Chapter_1,1.245009928852416
Chapter,75,Chapter_75,1.3219658406644499
75,regulations,75_regulations,1.3410744889103186
75,administrative,75_administrative,1.3013050967435595
75,compostable,75_compostable,1.3691342186121045
75,contained,75_contained,1.360940550161804
75,prohibition,75_prohibition,1.293578910248334
75,flexible,75_flexible,1.2770973023104375
75,straws,75_straws,1.387060774643661
75,plastic,75_plastic,1.2878185961011703
75,pursuant,75_pursuant,1.3428595408257096
75,public,75_public,1.307648261849368
75,serviceware,75_serviceware,1.3798814459637905
75,single,75_single,1.1709416618434108
75,non-compostable,75_non-compostable,1.3890523873240535
75,ETS,75_ETS,1.3488594936571734
75,air,75_air,1.3144642679958891
75,occupants,75_occupants,1.3627755744207002
75,respective,75_respective,1.3159908379481704
75,Establish,75_Establish,1.3344424219320745
75,Minimum,75_Minimum,1.1376777452396876
