ID,Form,Lemma,POStag,NER,Head,DepRel,Deps,Clause Tag,Record ID,Sentence ID,Document ID,Document,Date
1,Chapter,chapter,NN,MISC,0,ROOT,0:ROOT,,1,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,75,75,CD,NUMBER,1,nummod,1:nummod,,2,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,-,-,HYPH,O,1,punct,1:punct,,3,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,SUSTAINABLE,sustainable,JJ,O,7,amod,7:amod,,4,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,DEVELOPMENT,DEVELOPMENT,NNP,O,7,compound,7:compound,,5,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,DESIGN,DESIGN,NNP,O,7,compound,7:compound,,6,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,STANDARDS,STANDARDS,NNPS,O,1,dep,1:dep,,7,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,Sec.,sec.,NN,O,7,dep,7:dep,,8,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,75,75,CD,NUMBER,8,nummod,8:nummod,,9,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,-,-,HYPH,NUMBER,8,punct,8:punct,,10,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
