Number of documents in corpus,Document ID,Document,Number of Sentences in Document,Number of Words in Document,Number of Syllables in Document,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5,Word6,Frequency6,Word7,Frequency7,Word8,Frequency8,Word9,Frequency9,Word10,Frequency10,Word11,Frequency11,Word12,Frequency12,Word13,Frequency13,Word14,Frequency14,Word15,Frequency15,Word16,Frequency16,Word17,Frequency17,Word18,Frequency18,Word19,Frequency19,Word20,Frequency20
987,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/CHARTER_OF_THE_COUNTY_OF_LOS_ANGELES.txt"")",754,13926,22103,",",1376,of,824,the,658,.,493,and,363,or,277,to,271,Section,262,by,259,CH,226,-,219,shall,213,in,202,County,174,Board,163,.....,150,Supervisors,147,be,146,[,132,],132
987,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/FLOOD_CONTROL_DISTRICT_CODE.txt"")",1163,18321,29174,",",1415,of,1074,the,958,),768,(,726,.,712,and,532,§,463,to,454,Ord.,426,or,400,District,278,by,242,compensation,228,Amends,208,in,198,a,195,"""",187,112,175,shall,168
987,3,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/LOS_ANGELES_COUNTY_CODE.txt"")",18,540,946,Title,30,",",26,of,25,the,22,and,21,Code,12,.,12,Volume,10,County,9,by,8,is,8,Los,7,Angeles,7,(,7,),7,District,6,to,6,code,6,1,5,in,5
987,4,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/ORDINANCE_LIST_AND_DISPOSITION_TABLE.txt"")",7271,52536,71393,",",15342,),4813,(,4730,and,2216,§,1850,Amends,1565,of,1447,§§,1358,;,1123,-,890,to,879,Adds,767,Special,664,District,622,Ord.,588,3,571,F,539,amends,494,Zoned,468,No.,454
987,5,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/SUPPLEMENT_HISTORY_TABLE.txt"")",6,1299,1636,Include,275,Omit,26,99,25,90,24,F,23,89,21,105,21,87,20,95,19,92,16,100,15,97,14,102,14,88,13,98,13,103,13,91,12,94,12,11-26-2013,12,101,12
987,6,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.01-CODE_ADOPTION.txt"")",32,457,727,",",45,.,24,of,18,the,17,code,14,or,13,any,13,Ord.,12,§,12,and,12,to,11,:,9,Los,8,Angeles,8,County,8,in,8,shall,8,-,7,Code,7,ordinances,7
987,7,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.04-GENERAL_PROVISIONS.txt"")",1,5,11,Chapter,1,1.04,1,-,1,GENERAL,1,PROVISIONS,1,(,1,Reserved,1,),1
987,8,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.12-ROAD_DISTRICTS.txt"")",30,384,649,of,33,",",33,the,32,.,18,boundaries,16,as,16,District,15,No.,15,-,12,established,12,and,12,(,12,),12,1,11,such,10,Ord.,7,§,7,unincorporated,6,territory,6,county,6
987,9,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.16-SUPERIOR_COURT_DISTRICTS.txt"")",209,7028,10626,the,610,of,547,",",346,to,250,and,223,;,220,thence,219,along,218,said,216,-,191,line,153,in,139,centerline,132,last,123,mentioned,122,boundary,101,.,100,city,96,West,82,Los,77
987,10,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.20-JUDICIAL_DISTRICTS.txt"")",394,12631,18288,the,1352,of,1227,",",475,and,386,along,355,boundary,351,to,349,;,348,in,338,thence,331,city,285,said,267,.,217,its,204,following,199,all,189,(,187,),187,-,186,same,166
