Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Sentences in Document,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/CHARTER_OF_THE_COUNTY_OF_LOS_ANGELES.txt"")",754,754.0,754,754.0,,754,754,,,754.0,754.0,754.0
Number of Sentences in Document,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/FLOOD_CONTROL_DISTRICT_CODE.txt"")",1163,1163.0,1163,1163.0,,1163,1163,,,1163.0,1163.0,1163.0
Number of Sentences in Document,3,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/LOS_ANGELES_COUNTY_CODE.txt"")",18,18.0,18,18.0,,18,18,,,18.0,18.0,18.0
Number of Sentences in Document,4,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/ORDINANCE_LIST_AND_DISPOSITION_TABLE.txt"")",7271,7271.0,7271,7271.0,,7271,7271,,,7271.0,7271.0,7271.0
Number of Sentences in Document,5,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/SUPPLEMENT_HISTORY_TABLE.txt"")",6,6.0,6,6.0,,6,6,,,6.0,6.0,6.0
Number of Sentences in Document,6,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.01-CODE_ADOPTION.txt"")",32,32.0,32,32.0,,32,32,,,32.0,32.0,32.0
Number of Sentences in Document,7,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.04-GENERAL_PROVISIONS.txt"")",1,1.0,1,1.0,,1,1,,,1.0,1.0,1.0
Number of Sentences in Document,8,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.12-ROAD_DISTRICTS.txt"")",30,30.0,30,30.0,,30,30,,,30.0,30.0,30.0
Number of Sentences in Document,9,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.16-SUPERIOR_COURT_DISTRICTS.txt"")",209,209.0,209,209.0,,209,209,,,209.0,209.0,209.0
Number of Sentences in Document,10,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.20-JUDICIAL_DISTRICTS.txt"")",394,394.0,394,394.0,,394,394,,,394.0,394.0,394.0
Number of Sentences in Document,11,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.23-NUISANCE_ABATEMENT_ORDINANCE.txt"")",44,44.0,44,44.0,,44,44,,,44.0,44.0,44.0
Number of Sentences in Document,12,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.24-GENERAL_PENALTY*.txt"")",24,24.0,24,24.0,,24,24,,,24.0,24.0,24.0
Number of Sentences in Document,13,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.25-ADMINISTRATIVE_FINES_AND_NONCOMPLIANCE_FEES_FOR_CODE_VIOLATIONS.txt"")",170,170.0,170,170.0,,170,170,,,170.0,170.0,170.0
Number of Sentences in Document,14,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.04-GENERAL_PROVISIONS*.txt"")",42,42.0,42,42.0,,42,42,,,42.0,42.0,42.0
Number of Sentences in Document,15,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.08-DEFINITIONS.txt"")",143,143.0,143,143.0,,143,143,,,143.0,143.0,143.0
Number of Sentences in Document,16,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.12-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL*.txt"")",164,164.0,164,164.0,,164,164,,,164.0,164.0,164.0
Number of Sentences in Document,17,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.16-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL_VOLUNTEER_PROGRAM.txt"")",35,35.0,35,35.0,,35,35,,,35.0,35.0,35.0
Number of Sentences in Document,18,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.20-DOGS_AND_CATS*.txt"")",406,406.0,406,406.0,,406,406,,,406.0,406.0,406.0
Number of Sentences in Document,19,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.28-OTHER_LICENSES.txt"")",208,208.0,208,208.0,,208,208,,,208.0,208.0,208.0
Number of Sentences in Document,20,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.32-ANIMALS_RUNNING_AT_LARGE.txt"")",59,59.0,59,59.0,,59,59,,,59.0,59.0,59.0
Number of Sentences in Document,21,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.36-IMPOUNDMENT*.txt"")",200,200.0,200,200.0,,200,200,,,200.0,200.0,200.0
Number of Sentences in Document,22,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.37-POTENTIALLY_DANGEROUS_AND_VICIOUS_DOGS.txt"")",181,181.0,181,181.0,,181,181,,,181.0,181.0,181.0
Number of Sentences in Document,23,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.39-RODEOS.txt"")",12,12.0,12,12.0,,12,12,,,12.0,12.0,12.0
Number of Sentences in Document,24,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.40-GENERAL_REQUIREMENTS.txt"")",172,172.0,172,172.0,,172,172,,,172.0,172.0,172.0
Number of Sentences in Document,25,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_2-ANIMAL_HEALTH.txt"")",246,246.0,246,246.0,,246,246,,,246.0,246.0,246.0
Number of Sentences in Document,26,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_3-MISCELLANEOUS_REGULATIONS.txt"")",187,187.0,187,187.0,,187,187,,,187.0,187.0,187.0
Number of Sentences in Document,27,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.02-GENERAL_PROVISIONS_AND_DEFINITIONS.txt"")",171,171.0,171,171.0,,171,171,,,171.0,171.0,171.0
Number of Sentences in Document,28,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.04-COMMUNICABLE_DISEASE_CONTROL.txt"")",255,255.0,255,255.0,,255,255,,,255.0,255.0,255.0
Number of Sentences in Document,29,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.06-PERMITS_AND_SPECIAL_SERVICE_FEES.txt"")",9,9.0,9,9.0,,9,9,,,9.0,9.0,9.0
