Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Syllables in Document,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/CHARTER_OF_THE_COUNTY_OF_LOS_ANGELES.txt"")",22103,22103.0,22103,22103.0,,22103,22103,,,22103.0,22103.0,22103.0
Number of Syllables in Document,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/FLOOD_CONTROL_DISTRICT_CODE.txt"")",29174,29174.0,29174,29174.0,,29174,29174,,,29174.0,29174.0,29174.0
Number of Syllables in Document,3,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/LOS_ANGELES_COUNTY_CODE.txt"")",946,946.0,946,946.0,,946,946,,,946.0,946.0,946.0
Number of Syllables in Document,4,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/ORDINANCE_LIST_AND_DISPOSITION_TABLE.txt"")",71393,71393.0,71393,71393.0,,71393,71393,,,71393.0,71393.0,71393.0
Number of Syllables in Document,5,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/SUPPLEMENT_HISTORY_TABLE.txt"")",1636,1636.0,1636,1636.0,,1636,1636,,,1636.0,1636.0,1636.0
Number of Syllables in Document,6,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.01-CODE_ADOPTION.txt"")",727,727.0,727,727.0,,727,727,,,727.0,727.0,727.0
Number of Syllables in Document,7,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.04-GENERAL_PROVISIONS.txt"")",11,11.0,11,11.0,,11,11,,,11.0,11.0,11.0
Number of Syllables in Document,8,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.12-ROAD_DISTRICTS.txt"")",649,649.0,649,649.0,,649,649,,,649.0,649.0,649.0
Number of Syllables in Document,9,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.16-SUPERIOR_COURT_DISTRICTS.txt"")",10626,10626.0,10626,10626.0,,10626,10626,,,10626.0,10626.0,10626.0
Number of Syllables in Document,10,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.20-JUDICIAL_DISTRICTS.txt"")",18288,18288.0,18288,18288.0,,18288,18288,,,18288.0,18288.0,18288.0
