Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Words in Document,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/CHARTER_OF_THE_COUNTY_OF_LOS_ANGELES.txt"")",13926,13926.0,13926,13926.0,,13926,13926,,,13926.0,13926.0,13926.0
Number of Words in Document,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/FLOOD_CONTROL_DISTRICT_CODE.txt"")",18321,18321.0,18321,18321.0,,18321,18321,,,18321.0,18321.0,18321.0
Number of Words in Document,3,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/LOS_ANGELES_COUNTY_CODE.txt"")",540,540.0,540,540.0,,540,540,,,540.0,540.0,540.0
Number of Words in Document,4,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/ORDINANCE_LIST_AND_DISPOSITION_TABLE.txt"")",52536,52536.0,52536,52536.0,,52536,52536,,,52536.0,52536.0,52536.0
Number of Words in Document,5,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/SUPPLEMENT_HISTORY_TABLE.txt"")",1299,1299.0,1299,1299.0,,1299,1299,,,1299.0,1299.0,1299.0
Number of Words in Document,6,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.01-CODE_ADOPTION.txt"")",457,457.0,457,457.0,,457,457,,,457.0,457.0,457.0
Number of Words in Document,7,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.04-GENERAL_PROVISIONS.txt"")",5,5.0,5,5.0,,5,5,,,5.0,5.0,5.0
Number of Words in Document,8,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.12-ROAD_DISTRICTS.txt"")",384,384.0,384,384.0,,384,384,,,384.0,384.0,384.0
Number of Words in Document,9,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.16-SUPERIOR_COURT_DISTRICTS.txt"")",7028,7028.0,7028,7028.0,,7028,7028,,,7028.0,7028.0,7028.0
Number of Words in Document,10,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.20-JUDICIAL_DISTRICTS.txt"")",12631,12631.0,12631,12631.0,,12631,12631,,,12631.0,12631.0,12631.0
Number of Words in Document,11,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.23-NUISANCE_ABATEMENT_ORDINANCE.txt"")",772,772.0,772,772.0,,772,772,,,772.0,772.0,772.0
Number of Words in Document,12,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.24-GENERAL_PENALTY*.txt"")",359,359.0,359,359.0,,359,359,,,359.0,359.0,359.0
Number of Words in Document,13,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.25-ADMINISTRATIVE_FINES_AND_NONCOMPLIANCE_FEES_FOR_CODE_VIOLATIONS.txt"")",4123,4123.0,4123,4123.0,,4123,4123,,,4123.0,4123.0,4123.0
Number of Words in Document,14,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.04-GENERAL_PROVISIONS*.txt"")",464,464.0,464,464.0,,464,464,,,464.0,464.0,464.0
Number of Words in Document,15,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.08-DEFINITIONS.txt"")",1592,1592.0,1592,1592.0,,1592,1592,,,1592.0,1592.0,1592.0
Number of Words in Document,16,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.12-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL*.txt"")",2354,2354.0,2354,2354.0,,2354,2354,,,2354.0,2354.0,2354.0
Number of Words in Document,17,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.16-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL_VOLUNTEER_PROGRAM.txt"")",515,515.0,515,515.0,,515,515,,,515.0,515.0,515.0
Number of Words in Document,18,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.20-DOGS_AND_CATS*.txt"")",6081,6081.0,6081,6081.0,,6081,6081,,,6081.0,6081.0,6081.0
Number of Words in Document,19,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.28-OTHER_LICENSES.txt"")",3339,3339.0,3339,3339.0,,3339,3339,,,3339.0,3339.0,3339.0
Number of Words in Document,20,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.32-ANIMALS_RUNNING_AT_LARGE.txt"")",1026,1026.0,1026,1026.0,,1026,1026,,,1026.0,1026.0,1026.0
Number of Words in Document,21,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.36-IMPOUNDMENT*.txt"")",3009,3009.0,3009,3009.0,,3009,3009,,,3009.0,3009.0,3009.0
Number of Words in Document,22,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.37-POTENTIALLY_DANGEROUS_AND_VICIOUS_DOGS.txt"")",3957,3957.0,3957,3957.0,,3957,3957,,,3957.0,3957.0,3957.0
Number of Words in Document,23,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.39-RODEOS.txt"")",198,198.0,198,198.0,,198,198,,,198.0,198.0,198.0
Number of Words in Document,24,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.40-GENERAL_REQUIREMENTS.txt"")",3764,3764.0,3764,3764.0,,3764,3764,,,3764.0,3764.0,3764.0
Number of Words in Document,25,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_2-ANIMAL_HEALTH.txt"")",4701,4701.0,4701,4701.0,,4701,4701,,,4701.0,4701.0,4701.0
Number of Words in Document,26,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_3-MISCELLANEOUS_REGULATIONS.txt"")",2272,2272.0,2272,2272.0,,2272,2272,,,2272.0,2272.0,2272.0
Number of Words in Document,27,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.02-GENERAL_PROVISIONS_AND_DEFINITIONS.txt"")",2609,2609.0,2609,2609.0,,2609,2609,,,2609.0,2609.0,2609.0
Number of Words in Document,28,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.04-COMMUNICABLE_DISEASE_CONTROL.txt"")",7151,7151.0,7151,7151.0,,7151,7151,,,7151.0,7151.0,7151.0
Number of Words in Document,29,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.06-PERMITS_AND_SPECIAL_SERVICE_FEES.txt"")",89,89.0,89,89.0,,89,89,,,89.0,89.0,89.0
Number of Words in Document,30,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.08-CHILDREN'S_CAMPS.txt"")",783,783.0,783,783.0,,783,783,,,783.0,783.0,783.0
Number of Words in Document,31,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.10-FOOD_DEMONSTRATORS.txt"")",831,831.0,831,831.0,,831,831,,,831.0,831.0,831.0
Number of Words in Document,32,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.11-WHOLESALE_FOOD_SAFETY_CERTIFICATION.txt"")",1687,1687.0,1687,1687.0,,1687,1687,,,1687.0,1687.0,1687.0
Number of Words in Document,33,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.12-WHOLESALE_FOOD_ESTABLISHMENTS.txt"")",8688,8688.0,8688,8688.0,,8688,8688,,,8688.0,8688.0,8688.0
Number of Words in Document,34,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.13-INDEPENDENT_WHOLESALE_VEHICLES.txt"")",968,968.0,968,968.0,,968,968,,,968.0,968.0,968.0
Number of Words in Document,35,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.14-FOOD_VENDING_MACHINES.txt"")",230,230.0,230,230.0,,230,230,,,230.0,230.0,230.0
Number of Words in Document,36,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.15-NONSMOKING_AREAS_IN_EATING_ESTABLISHMENTS.txt"")",472,472.0,472,472.0,,472,472,,,472.0,472.0,472.0
Number of Words in Document,37,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.16-GARBAGE_AND_OTHER_WASTE_MATERIAL.txt"")",940,940.0,940,940.0,,940,940,,,940.0,940.0,940.0
Number of Words in Document,38,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.19-ALCOHOLIC_BEVERAGE_WARNING_SIGNS.txt"")",499,499.0,499,499.0,,499,499,,,499.0,499.0,499.0
